addr	timept	g	range
72	1.0	2.7957763671874988e-05	22
73	1.0	2.3087158203125e-05	21
73	0.1	2.2977294921874994e-05	21
73	0.0	2.6275634765625e-05	21
73	100000.0	1.636474609375e-05	21
73	0.01	2.6004638671874993e-05	21
74	100000.0	2.2286376953125e-05	9
74	0.01	1.16412353515625e-05	9
74	0.1	1.233154296875e-05	9
74	0.0	1.16748046875e-05	9
74	1.0	1.86572265625e-05	9
75	0.01	3.822509765624998e-05	30
75	0.0	3.781005859375e-05	30
75	100000.0	3.827392578125001e-05	30
75	0.1	3.859863281249999e-05	30
75	1.0	3.777343749999998e-05	30
76	0.0	9.035949707031247e-06	7
76	100000.0	1.0215454101562503e-05	7
76	0.1	1.6575927734374992e-05	7
76	1.0	1.4560546874999995e-05	7
76	0.01	9.671630859375e-06	7
76	4.0	1.57183837890625e-05	7
77	4.0	2.4107360839843744e-06	3
77	0.1	3.531799316406249e-06	3
77	0.01	4.46197509765625e-06	3
77	100000.0	6.5869140625e-06	3
77	1.0	2.5811767578124992e-06	3
77	0.0	4.41009521484375e-06	3
78	1.0	1.088134765625e-05	6
78	100000.0	1.9588623046875e-05	6
78	0.01	8.563537597656247e-06	6
78	0.1	8.920288085937497e-06	6
78	0.0	8.464050292968746e-06	6
79	100000.0	2.0269775390625e-05	19
79	0.01	2.4309082031249995e-05	19
79	1.0	2.2675781249999994e-05	19
79	0.0	2.377685546875e-05	19
79	0.1	2.2965087890625e-05	19
79	4.0	2.214599609375e-05	19
80	0.01	3.062255859374999e-05	25
80	0.1	3.2067871093749985e-05	25
80	100000.0	3.4083251953125e-05	25
80	1.0	3.1850585937499985e-05	25
80	0.0	3.2298583984375e-05	25
81	0.01	2.738403320312499e-05	21
81	1.0	2.654541015625e-05	21
81	0.1	2.754516601562499e-05	21
81	100000.0	2.707519531250001e-05	21
81	0.0	2.735961914062499e-05	21
82	0.01	8.578491210937499e-06	7
82	0.0	8.801574707031247e-06	7
82	1.0	1.5246582031249995e-05	7
82	0.1	8.6358642578125e-06	7
82	4.0	1.3439331054687495e-05	7
82	100000.0	1.3747558593750007e-05	7
83	0.1	2.0369873046874995e-05	16
83	0.0	2.0040283203125e-05	16
83	0.01	2.0206298828125e-05	16
83	1.0	1.5996093749999995e-05	16
83	100000.0	2.291015625e-05	16
